name,smiles,molecular_weight,melting_point_K,boiling_point_K,heat_of_fusion,heat_of_vaporization,critical_temperature,critical_pressure,flash_point,logP
bismuthiol ii,S=c1sc(S)nn1-c1ccccc1,226.34164,523.15,283.15,,83112.85829266482,411.75926,1597790.5,,
benzazone-vii,N=C(S)N/N=C/c1ccc([N+](=O)[O-])o1,214.20184,523.15,,,,,,,1.64
flavaspidic acid,CCCC(=O)C1=C(O)C(Cc2c(O)c(C)c(O)c(C(=O)CCC)c2O)=C(O)C(C)(C)C1=O,446.4902,429.15,1425.17,147454.52419784354,,1797.193,2129522.2,,
ac1ntf82,O=C1C=CC=C/C1=C/NCCCSCCCN/C=C1/C=CC=CC1=O,356.48176,638.32,1020.32,134553.8689,307949.7643,1272.1111,1815406.2,,
fentin acetate,CC(=O)[O-].[Sn+].[c]1ccccc1.[c]1ccccc1.[c]1ccccc1,409.05672,398.35,,,,,,,
"benzene, [(1z)-1-methyl-1-propen-1-yl]-",C/C=C(/C)c1ccccc1,132.20228,209.84,448.15,110353.6187121735,288371.7082741322,654,3010000,,
zinc,[Zn],65.38,692.677,1180.15,108106.4546,2458605.9060918363,3170,290400000,,
lead(ii) thiocyanate,N#C[S-].N#C[S-].[Pb+2],323.3648,463.15,,,,,,,
"1,5-diisocyanatonaphthalene",O=C=Nc1cccc2c(N=C=O)cccc12,210.18824,403.65,603,,285005.23066941905,818,2720000,428.15,
ferron,O=S(=O)(O)c1cc(I)c(O)c2ncccc12,351.11771,533.15,,,,,,,
"2,2-dichloroacetamide",N=C(O)C(Cl)Cl,127.95732,372.35,507.15,98493.77902,536804.5989869209,665.67164,5438518.6,,0.19
ethylmagnesiumbromide,[Br-].[CH2-]C.[Mg+2],133.2701,346.25,,,,,,,
ccris 8754,CCCCOc1cc(OC)ccc1C(O)=NOC(C)=O,281.30436,488.38,763.66,137651.61691770438,,967.90301,2040068.6,,
chlorozotocin,O=C[C@H](N=C(O)N(CCCl)N=O)[C@@H](O)[C@H](O)[C@H](O)CO,313.69224,420.65,392.45,,,1390.199,3572795.2,,-1.02
mitozolomide,NC(=O)c1ncn2c(=O)n(CCCl)nnc12,242.62248,747.7,811.92,168001.74493311584,,1074.5375,5536068.6,,-0.47
3-fluorotoluene,Cc1cccc(F)c1,110.1288832,186.15,389.15,96414.30741395189,308210.24381888926,591.8,3900000,,2.75
perfluoroallene,FC(F)=C=C(F)F,112.0257128,99.44,272.51,138878.8306821646,210414.7608865264,421.20323,4260714.8,,
mesoxalonitrile,N#CC(=O)C#N,80.0449,237.15,338.65,101655.4458809993,428406.93989953154,754.42875,4486218.1,,
(chlorooxy)chlorane trioxide,[O-][Cl+3]([O-])([O-])OCl,134.9036,156.15,265.38,120159.87712707443,215176.7867615113,404.93588,8234492,,
muzolimine,CC(c1ccc(Cl)c(Cl)c1)N1NC(=N)CC1=O,272.13054,401.15,788.65,114073.92937227846,,1053.4534,3306746,,
d-glyceric acid,O=C(O)[C@H](O)CO,106.07734,390.81,597.67,172723.03396748073,,777.76018,6663890,,
"dichloro(1,5-cyclooctadiene)platinum(ii)",C1=C\CC/C=C\CC/1.[Cl-].[Cl-].[Pt+2],374.16488,538.15,,,,,,,
metronidazole-oh,O=[N+]([O-])c1cnc(CO)n1CCO,187.15336,391.15,763.18,190335.88282892705,,969.33242,5335720.9,,
"zirconocene, dichloride",[C-]1=CC=CC1.[Cl-].[Cl-].[Zr+4].c1cc[cH-]c1,292.3164,521.15,516.65,,201518.11724713512,649.23606,2239046.4,,
"sodium, 2,4-cyclopentadienide",[Na+].c1cc[cH-]c1,88.08296999999999,445.15,,,,,,,
149344-81-0,C=C(C)C(=O)OC.C=CC(=O)O.NCCO,233.26156,466.51,792.88,149424.5344153576,401607.1861152583,995.88453,2445894.4,,
triallyl aconitate,C=CCOC(=O)/C=C(/CC(=O)OCC=C)C(=O)OCC=C,294.29982,361.48,711.54,145310.99611273973,236994.41555435784,901.31208,1652455.5,,
l 11752,COc1cccc(-c2nc3n(n2)Cc2ccc(OC)cc2-3)c1,293.3199,666.2,848.37,137283.55969029036,,1103.6228,2701406,,
50987-86-5,COC(=O)c1ccc(C(=O)OC)cc1.OCCCCCCO.OCCCCO,402.47916,471.15,1176.82,148007.66330361055,,1506.4288,1456791.6,,
thiacetarsamide,NC(=O)c1ccc([As](SCC(=O)O)SCC(=O)O)cc1,377.26828,433.15,,,,,,,
"2',3'-dideoxy-2'-fluoroadenosine",Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1F,253.2329832,508.15,841.75,198082.4115647823,,1081.3984,4486218.1,,-0.14
bromoacetaldehyde,O=CCBr,122.94862,410.15,382.5,69215.90498535079,343858.7747,556.92269,6229407.9,,
tolciclate,Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)C2CCC3C2)c1,323.45184,366.15,,,,,,,
sulbentine,S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,314.46822,374.65,,,,,,,
22876-20-6,Sc1nc2ccc(Cl)cc2o1,185.63076,497.65,,,,,,,
"benzene, 1,2,5-tribromo-3-methoxy-",COc1cc(Br)cc(Br)c1Br,344.826,434.26,581.65,69029.01753348066,146605.74107388043,885.81459,5001510.5,,
"cholesta-4,6-dien-3-one",CC(C)CCCC(C)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,382.62178,353.65,927.05,83087.27224048773,201970.7813372023,1162.063,1087064.2,,
cyclopentabenzo(e)pyrene,C1=Cc2cc3cccc4c5ccccc5c5ccc1c2c5c34,276.33068000000003,590.26,829.06,131263.02153637083,,1092.7706,2485067.2,,
"(1s)-1-(2-chlorophenyl)ethane-1,2-diol",OC[C@@H](O)c1ccccc1Cl,172.60886,355.42,635.65,109948.00614522338,,830.66329,4356871.3,,
2-octadecenal,CCCCCCCCCCCCCCC/C=C/C=O,266.46196,318.65,664.26,168380.5072964261,222800.6914017597,833.26409,1257482,,
"alcohols, c11-unsatd.",C/C=C/CC/C=C/CCCCO,168.2759,264.39,551.78,170779.05986537584,334519.7089598709,722.00989,2315841.9,,
