name,smiles,molecular_weight,melting_point_K,boiling_point_K,heat_of_fusion,heat_of_vaporization,critical_temperature,critical_pressure,flash_point,logP
nifurdazil,O=C1N(CCO)CCN1/N=C/c1ccc([N+](=O)[O-])o1,268.22608,467.65,908.39,,,1144.2784,3306746,,
purine 3-oxide,On1cncc2ncnc1-2,136.11146000000002,557.8,601.14,200945.60737207576,,877.43595,9192452.3,,
2'-deoxyuridine,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](CO)O1,228.20198,436.15,838.51,162202.79946738412,537743.6646957094,1058.0549,4749689,,-1.51
oxirane,C1CO1,44.05256,161.8,283.6595561,117359.80837436007,578063.7087249685,468.92,7304700,253.15,-0.3
"1(2h)-pyrimidineacetic acid, 3-butyltetrahydro-2,4,6-trioxo-",CCCCN1C(=O)CC(=O)N(CC(=O)O)C1=O,242.22856,651.32,817.93,129361.2941430193,411186.5458072894,1045.0213,3086419.8,,
4-amino-6-methoxypyrimidine,COc1cc(N)ncn1,125.12858,423.65,548.01,151995.65119335646,,801.93202,5569169.1,,
"1-propanamine, n,2-dimethyl-n-nitro-",CC(C)CN(C)[N+](=O)[O-],132.16098,295.65,477.84,148039.1564893057,344513.9713906072,684.32593,3543083.9,,
l-citrulline,N=C(O)NCCC[C@H](N)C(=O)O,175.18572,487.15,731.05,199833.63940850887,547227.7944803128,948.2769,4403251.5,,-3.19
ammonium nitrate,N.O=[N+]([O-])O,80.04336,442.85,508.15,73210.32000655645,801726.2605352077,737.94166,9750597.3,,
acetoxyacetic acid,CC(=O)OCC(=O)O,118.08804,340.65,494.85,174683.2278696471,527316.4585,764,4320000,,
"cis-1,3-pentadiene",C=C/C=C\C,68.11702,159.05,317.15,82798.68966669418,391408.0720157165,488,3989996,,2.4
coenzyme q10,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,863.3435000000001,322.15,1812.86,151195.90290539048,147147.31193503685,3030.7453,275385.93,,
dimethylbellidifolin,COc1cc(OC)c2c(=O)c3c(O)ccc(OC)c3oc2c1,302.27876000000003,684.42,893.73,130121.6135728491,,1139.5808,2755561.1,,
naphthalene,c1ccc2ccccc2c1,128.17052,353.35,491.15,148318.03756433225,336834.7726109612,748.4,4050000,350.15,3.34
benomyl,CCCCN=C(O)n1c(N=C(O)OC)nc2ccccc21,290.31772,413.15,841.43,172190.66063208267,,1059.89,2515067.8,,2.12
cystine,NC(CSSCC(N)C(=O)O)C(=O)O,240.30048,513.15,909.64,179733.30723267802,534643.7909943068,1160.349,4743149,,
anandamide,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=NCCO,347.5346800000001,480.79,915.82,185103.82906246933,245523.6241890005,1121.2347,1145985.2,,
l-homocysteine,N[C@@H](CCS)C(=O)O,135.18475999999998,505.15,571.58,162555.30579038645,480267.8458549534,801.37286,5220689,,
hexane,CCCCCC,86.17536,178.075,341.8656166,151783.52605663615,335139.99059591285,507.82,3044100,251.15,4
tetraethyllead,[CH2]C.[CH2]C.[CH2]C.[CH2]C.[Pb],323.4444,406.74,456.15,,129259.08414631998,655,2125000,366.48333,4.15
tabun,CCOP(=O)(C#N)N(C)C,162.126801,223.15,513.15,,304699.45021955285,698.03747,2609436,,0.38
paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,329.3654032,403.15,853.05,156868.32769325908,,1103.8572,2173428.7,,
acetyl-β-alanine,CC(O)=NCCC(=O)O,131.12986,351.15,628.25,,,827.61369,3824546.6,,
"2-propenoic acid, 3-(4-(((4-methoxyphenyl)methylene)amino)phenyl)-2-methyl-, propyl ester",CCCOC(=O)C(C)=Cc1ccc(N=Cc2ccc(OC)cc2)cc1,337.41222,328.15,904.76,,,1139.7929,1411184.8,,
electrocorundum,[Al].[Al].[O].[O].[O],101.961276,2327.15,3250.15,1089629.3608565668,6160107.015154247,5335,195320000,,
fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,336.47052,356.15,850.35,125996.17939782658,,1082.639,1694903.5,,4.05
triprolidine,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,278.39138,333.15,778.52,124551.27022970322,,1032.7867,2161320.5,,3.92
trifluoperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,407.4955696,298.15,479.15,117387.77932470557,227992.18351957435,1065.9919,1674162.5,,5.03
halothane,FC(F)(F)C(Cl)Br,197.38154960000003,155.15,323.15,44183.46100571904,139608.50167206794,495,3951675,,2.3
6-acetylmorphine,CC(=O)O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,327.37434,664.14,866.61,152779.23126168043,,1106.0753,2367970.8,,
"ethane-1,1-diol",CC(O)O,62.06784,218.94,429.28,90046.63284560892,,592.50932,6740706.6,,
ac1ldmdx,COC(=O)C1=CCC23CCC(C(C)(C=CC=C(C)C(=O)O)OC2=O)C3(OC(C)=O)CC1,432.4636200000001,416.65,1083.16,117663.07649184456,255271.9297809459,1331.0211,1423994.3,,
hyoscyamine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,289.36942,387.15,790.72,127943.71983051977,,1000.2405,2135430.7,,1.83
octane,CCCCCCCC,114.22852,216.3,398.7937551,181478.3208256572,301481.3280256889,568.74,2483590,286.15,5.15
vancomycin,CN[C@H](CC(C)C)C(O)=N[C@H]1C(O)=N[C@@H](CC(=N)O)C(O)=N[C@H]2C(O)=N[C@H]3C(O)=N[C@H](C(O)=N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,1449.2536,3360.45,4040.45,173799.11976758242,,-4406.6773,698389.57,,
heptane,CCCCCCC,100.20194,182.15,371.5503605,140017.24916703207,316686.7118,540.2,2735730,266.15,4.5
lime,[Ca].[O],56.0774,2886.15,3123.15,1426599.664035779,,6020,,,
thioflavine t,Cc1ccc2c(c1)SC(=C1C=CC(=[N+](C)C)C=C1)N2C.[Cl-],318.86416,484.65,779.4,120116.9802212955,,1024.4757,2098420.5,,
cyclosporin a,CC=CCC(C)C(O)C1C(O)=NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(O)=NC(C(C)C)C(=O)N(C)C(CC(C)C)C(O)=NC(C)C(O)=NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,1202.6112400000002,422.65,2801.2,121429.93108895273,728663.9148270182,18378.378,270249.17,,
linolenic acid,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,278.4296,256.65,504.15,190802.27102290848,311057.8020623955,780,1440000,,6.46
sulfur,[S],32.065,286.405,717.76,53672.22828629347,277285.8601259757,1314,11753700,,
ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28082,349.15,673.33,126890.1296785615,210471.10658761807,765,2980000,,3.97
fluoride,[F-],18.9984032,376.65,198.17,27265.449340500367,892809.9753739025,333.28944,6729651.7,,
sodium bicarbonate,O=C([O-])O.[Na+],84.00661,800.15,,297595.62967723614,,,,,
sodium carbonate,O=C([O-])[O-].[Na+].[Na+],105.98844,1129.15,1873.15,280219.2390038008,,,,,
isobutylene oxide,CC1(C)CO1,72.10571999999999,207,324.15,82268.09190727172,374395.0518,500,4400000,241.15,
choline,C[N+](C)(C)CCO,104.17076,505.65,,,,,,,
chlorine dioxide,[O][Cl+][O-],67.4518,214.15,284.15,131694.03929917363,400758.1668714061,465,8611612,,
tacrolimus,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,804.0181600000001,399.15,1917.68,118081.90999068976,152891.17182667414,3018.3987,543864.17,,
potassium chloride,[Cl-].[K+],74.5513,1044.15,1689,352508.94350601535,1682931.7387002048,3470,18000000,,
"2-methyl-5h-dibenz[b,f]azepine-5-carboxamide",Cc1ccc2c(c1)C=Cc1ccccc1N2C(=N)O,250.29516,356.65,779.12,137094.14117316532,,1028.787,2937698.8,,
pentamidine,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,340.41946,730.31,1056.22,,,,,,
ethane,CC,30.06904,90.3,184.5685878,90458.49152,489404.93146588415,305.322,4872200,244.15,1.81
diallyl maleate,C=CCOC(=O)/C=C\C(=O)OCC=C,196.19988,226.15,382.15,142895.09249445004,342792.4523587708,693,2330000,,
cyclooctatetraene,C1=C\C=C/C=C\C=C/1,104.14912,268.45,413.15,76121.62253507279,334513.5603505323,641.4,4420000,,3.08
"rel-(1r,3s,5r,7s)-3,8,8-trimethyl-4-oxatricyclo[5.1.0.03,5]octane",CC1(C)[C@@H]2C[C@]3(C)O[C@@H]3C[C@@H]21,152.23344,325.69,462.44,103039.12202207348,,676.78528,3093289.9,,
37437-17-5,CN=C(O)N(CCO)CCO,162.18696,414.08,637.72,179983.64356789226,551707.9725,806.07505,4238552.5,,
18270-61-6,N#CC(C#N)=C(Cl)c1ccccc1,188.6131,355.78,700.59,108624.48048412333,,959.30306,2853568.6,,
l-lactic acid,C[C@H](O)C(=O)O,90.07794,326.15,398.15,158018.71135152513,686939.8837,694.80792,5765386.8,,
glycerol,OCC(O)CO,92.09382,291.15,562.15,198710.4020660669,717057.2202078819,850,7500000,446.9892132,-1.76
c5o2,O=C=C=C=C=C=O,92.0523,215.56,307.95,325554.0600289183,349360.5689396869,494.76759,9764251.9,,
butane,CCCC,58.1222,135.05,272.6599005,80175.90524790871,385708.5574637104,425.125,3796000,213.15,2.89
131457-46-0,CC(C)(C1=N[C@@H](c2ccccc2)CO1)C1=N[C@@H](c2ccccc2)CO1,334.41158,626.27,930.35,139301.39620165067,,1215.992,2129522.2,,
ethanedinitrile,N#CC#N,52.0348,245.25,252.05,155857.23400493513,449901.2761787055,400,6000000,,0.07
gossypol,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,518.5544,472.15,,,,,,,
succinylcholine chloride,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-],361.305,463.15,,,,,,,
mifepristone,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,429.5937,466.65,1133.6,107196.63719463296,,1397.52,1400641.8,,
edetic acid,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,292.24264,518.15,1035.32,233607.25183703515,,809,2230000,,
cis-crotononitrile,C/C=C\C#N,67.08919999999999,200.55,379.15,116620.85700828151,465075.7150422051,568,3880000,288.65,
nitron,c1ccc(N=c2[n-][n+](-c3ccccc3)cn2-c2ccccc2)cc1,312.36784,460.15,905.55,,,1182.8062,2318072.5,,
2-hydroxy-2-methylpropanamide,CC(C)(O)C(=N)O,103.11976,366.65,556.59,,435137.94829216966,771.7,5342000,,
haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.8642232,423.25,954.11,109273.50214480322,,1185.0841,1880534.9,,4.3
fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,437.5215496,721.85,544.15,124595.00577705944,282122.4172465602,1181.3864,1668695.8,,4.36
quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,383.5071,445.65,1015.64,131481.26853453298,,1257.232,2135430.7,,
olanzapine,Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,312.43249999999995,468.15,859.62,143605.41877045445,,1125.4986,2752670.4,,
74240-66-7,CCCCCC1COC(c2ccc(C#N)cc2)OC1,259.34344,330.15,768.2,158932.10948385662,,998.48004,1875651.4,,
nitrogen oxide (n2o4),O=[N+]([O-])[N+](=O)[O-],92.011,263.85,294.3,159220.09324972014,358418.9162790769,431,10132500,,
ac1l1hjo,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)[C@H](C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,747.9533600000001,493.15,1734.76,131310.3266225049,151787.94429391585,2768.0415,583162.43,,3.16
mefloquine,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,378.3121592,451.35,851.86,106946.07354296216,,1066.3576,2029056.1,,
diethylcarbamazine,CCN(CC)C(=O)N1CCN(C)CC1,199.29324,321.15,535.27,136893.7552,267200.8215836883,721.49067,2676309.2,,
phosphoric acid,O=P(O)(O)O,97.995181,304.325,680.15,136741.41792747955,663738.4093349766,1030,5070000,,
silane,[SiH4],32.11726,88.15,161.25,,431919.97838568187,269,4855494,,
1-butyl-4-hydroxy-2(1h)-quinolinone,CCCCn1c(=O)cc(O)c2ccccc21,217.2637,485.15,700.15,136598.98086979098,,933.55325,3195540.6,,
aluminum hydroxide,[Al+3].[OH-].[OH-].[OH-],78.003558,573.15,,,,,,,
magnesium hydroxide,[Mg+2].[OH-].[OH-],58.31968,623.15,,,,,,,
cortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,360.44402,496.65,1097.78,69530.90801728379,367257.4108484935,1348.2336,2100344.4,,1.47
vx (van),CCOP(C)(=O)SCCN(C(C)C)C(C)C,267.36840099999995,222.15,571.15,,193050.9715769748,739.47438,1602589.5,,2.09
sodium nitrate,O=[N+]([O-])[O-].[Na+],84.99467,579.65,653.15,182364.37649560848,,1321,,,
citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.3919432,455.65,451.15,129146.24076890454,266885.8546206525,1106.9057,1697698,,
"8-(phenylmethyl)-1,4-dioxa-8-azaspiro[4.5]decane",c1ccc(CN2CCC3(CC2)OCCO3)cc1,233.30616,323.15,644.14,118458.08100394778,,891.92781,2960117.7,,
"1,3-butadiyne",C#CC#C,50.05868,236.75,283.15,241037.1188373325,460204.79380646185,478.02,5863000,,
2-chlorovinyldichloroarsine,Cl/C=C/[As](Cl)Cl,207.31788,273.25,463.15,,181569.2693149197,715.84496,3585186.1,,
streptomycin,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,581.5740599999999,467.15,1964.73,,290262.80636450683,3824.2473,1910240.1,,
sodium hypochlorite,[Na+].[O-]Cl,74.44217,291.15,,,,,,,
atomic chlorine,[Cl],35.453,136.05,236.33,46117.39486080162,572003.7651332412,397.84705,6818859.1,,
2-ethylaniline,CCc1ccccc1N,121.17964,226.65,486.15,126465.1388632612,368430.4493870238,704,3740000,358.15,1.74
peroxyacetyl nitrate,CC(=O)OO[N+](=O)[O-],121.04892,224.65,377.05,,342289.28131162835,523.08273,4360678.6,,
iron oxide (fe2o3),[Fe+3].[Fe+3].[O-2].[O-2].[O-2],159.6882,1812.15,2260.15,544811.7018038904,,,,,
titanium dioxide,[O].[O].[Ti],79.8658,2116.15,3023.15,,6605037.404405177,4763.5628,79204073,,
xylitol,OCC(O)C(O)C(O)CO,152.14578,369.05,653.15,122100.00172203264,490148.6781284143,947.80418,6785199.6,,
oxytocin acetate salt hydrate,CCC(C)C1N=C(O)C(Cc2ccc(O)cc2)N=C(O)C(N)CSSCC(C(=O)N2CCCC2C(O)=NC(CC(C)C)C(O)=NCC(=N)O)N=C(O)C(CC(=N)O)N=C(O)C(CCC(=N)O)N=C1O,1007.18734,2422.39,2760.04,155503.34459128525,,5860.6464,875837.66,,
potassium oxide,[K+].[K+].[O-2],94.196,1013.15,,286636.37521763134,,,,,
silicon carbide,[C-]#[Si+],40.0962,3103.15,,,,,,,
isoestradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O,272.38196,454.15,835.56,117291.17449628456,,1070.1576,2576721.9,,
silver nitrate,O=[N+]([O-])[O-].[Ag+],169.8731,483.15,,68992.67747512703,,,,,
nickel tetracarbonyl,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Ni],170.7338,253.85,316.15,,109340.5870513155,452.55,3040000,253.15,
4-(hydroxymethyl)benzoic acid,O=C(O)c1ccc(CO)cc1,152.14731999999998,454.65,651.99,160101.40697844696,508347.6934819048,814.4,4510000,,0.93
carbon suboxide,O=C=C=C=O,68.0309,166.15,279.95,301745.2363558324,363482.2835788687,431.8,5119000,,
dehydroabietic acid,CC(C)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C,300.43512000000004,445.15,856.74,93144.90263322076,,828,1750000,,
sulfur trioxide,O=S(=O)=O,80.0632,301.325,317.65,107415.14203779017,508879.2966924007,491,8207325,,
fumaryl,O=C=C=C=C=O,80.0416,197.78,281.8,315435.9732938872,366051.0183929215,454.43257,9841899.7,,
"1-butyne-1,4-diol",OC#CCCO,86.08924,362.58,484.48,202278.4728962644,,597.8,6318859.8,,
"9,10-anthracenedione, 1,7-dihydroxy-",O=C1c2ccc(O)cc2C(=O)c2c(O)cccc21,240.21092,711,887.26,121018.6447810116,,1170.6776,4931511.2,,
fenamidone,CSC1=N[C@@](C)(c2ccccc2)C(=O)N1Nc1ccccc1,311.40138,645.08,910.22,113474.1278282068,,1191.5336,2761356.1,,
b 108,Cc1c(Cl)cccc1-n1c(C)nc2ccccc2c1=O,284.74022,598.09,820.92,118964.57760691484,,1086.0224,2613739.5,,
nitric oxide,[N]=O,30.0061,109.55,121.41,76651.08094687414,450783.74360101926,180,6484800,,
potassium hydroxide,[K+].[OH-],56.10564,679.15,1600.15,140805.8084713052,3620922.565380621,2624,21488000,,
warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,308.32794,434.15,896.21,132599.0762,,1141.3359,2472725.2,,2.6
potassium bicarbonate,O=C([O-])O.[K+],100.11514,373.15,,,,,,,
potassium carbonate,O=C([O-])[O-].[K+].[K+],138.2055,1172.15,,199702.61675548367,,,,,
lead dinitrate,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Pb+2],331.2098,743.15,,,,,,,
arsine,[AsH3],77.94542,157.15,210.65,,208338.6642308559,373,6550000,,
methylene blue,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],319.85222,378.15,810.22,127712.10404604978,,1064.7882,2298113.1,,
4368-28-9,[NH2+]=C1NC(O)C2C3OC4([O-])O[C@@H](C(O)C2(N1)[C@@H]4O)C3(O)CO,319.26798,553.15,1141.94,204686.9842694529,672965.5894582613,1412.4376,8750736.2,,
tolnidamine,Cc1cc(Cl)ccc1Cn1nc(C(=O)O)c2ccccc21,300.73962,693.99,894.34,154974.5923067935,,1146.2803,2693001.3,,
fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,318.33464960000003,394.4,762.97,,,963.73048,1556123.5,,
carbon tetrachloride,ClC(Cl)(Cl)Cl,153.8227,250.15,349.85,16642.537154789246,193537.9096,556.3,4540000,,2.64
"1,3-dichlorobenzene",Clc1cccc(Cl)c1,147.00196,248.25,445.15,85713.14287238075,265667.8638154542,685.7,4200000,336.15,3.48
nitrogen triiodide,IN(I)I,394.72011,195.15,491.46,30388.62145,110990.49634778035,794.46726,6046695,,
tetrachloroethylene,ClC(Cl)=C(Cl)Cl,165.8334,251,394.35,65608.01382592409,210432.92146437475,611,4458300,318.15,2.88
bromomethane,CBr,94.93852,179.45,276.55,62988.13168774908,254703.37931080625,467,8265790,,1.19
dibromoacetylene,BrC#CBr,183.8294,256.65,386.68,79573.77873180242,201826.16852318897,631.21881,8087055.5,,
carbon disulfide,S=C=S,76.1407,161.15,319.35,57656.41765836143,354739.1188654012,552,7903350,243.15,1.94
diborane,,27.66964,108.3,180.66,,507116.6531079038,289.8,4053000,,
methanethiol,CS,48.10746,151.15,279.15,122849.96963048977,511016.4483399716,470,7230000,255.15,
diglycolic acid,O=C(O)COCC(=O)O,134.08744000000002,418.65,542.15,205761.2554911929,279860.23651995347,820,4420000,488.9948194,
disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,296.5392,343.65,,,,,,,3.88
alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,308.76492,502.275,902.36,143309.67390984704,,1188.4069,2953686.2,,2.12
basic copper carbonate,O=C([O-])[O-].[Cu+2].[Cu+2].[OH-].[OH-],221.11558,473.15,,,,,,,
"1,3-dichloro-5,5-diphenylimidazolidine-2,4-dione",O=C1N(Cl)C(=O)C(c2ccccc2)(c2ccccc2)N1Cl,321.1581,614.71,838.52,87125.31304675175,,1116.2124,2989321.2,,
nitromethane,C[N+](=O)[O-],61.04002,244.15,374.34,158912.1366605057,569844.9806355354,588,6100000,308.15,-0.33
cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,416.2971600000001,353.15,1020.12,108657.9596171158,,1276.3466,1456791.6,,6
3088-15-1,O=C(c1ccccc1)c1cc(C(=O)c2ccccc2)c(O)cc1O,318.32276,424.15,1011.2,138394.12550959282,,1285.8175,3318184.7,,
magnesium sulfate,O=S(=O)([O-])[O-].[Mg+2],120.3676,1410.15,,121295.0993456711,,,,,
minocycline,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(=N)O)=C(O)[C@@]3(O)C(=O)C1=C2O,457.47638000000006,1143.7,1453.4,136094.45803518858,,1840.492,2438652.6,,0.05
sodium cyclamate,O=S(=O)([O-])NC1CCCCC1.[Na+],201.21915,538.15,,,,,,,
potassium bromide,[Br-].[K+],119.0023,1007.15,1708.15,214449.6366876943,2655520.630619553,3520,11552000,,
nonyl 4-aminobenzoate,CCCCCCCCCOC(=O)c1ccc(N)cc1,263.3752,342.15,728.09,153446.4900263958,,929.66962,1771361.2,,
stercobilin,CCC1C(O)=NC(Cc2[nH]c(C=C3N=C(CC4N=C(O)C(C)C4CC)C(C)=C3CCC(=O)O)c(CCC(=O)O)c2C)C1C,594.74154,509.15,1670.57,193041.83797217192,,2169.5135,896410.77,,
"hydroperoxide, 4-phenylbutyl",OOCCCCc1ccccc1,166.21696,311.93,569.68,126178.45976728247,378117.6605157615,760.74817,3184729.6,,
metformin,CN(C)C(=N)NC(=N)N,129.16364,497.65,609.52,,545213.3611,836.80786,4720131.3,,
isoaminile,CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C,244.37516,366.38,415.15,87177.43653,321173.1266452986,920.97106,1714611.5,,
neomycin,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,614.6437400000001,1390.11,1958.27,208462.22235989905,281208.6053910055,3894.1861,2032717,,
garamycin,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,477.59542,378.15,1389.71,171391.92833968133,282810.0541,1768.5401,1676905.9,,
2-chloro-6-methylbenzaldehyde,Cc1cccc(Cl)c1C=O,154.59358,310.15,,,,,,,
"2,6-dichloronicotinic acid",O=C(O)c1ccc(Cl)nc1Cl,191.99952,418.15,647.59,147052.45096446076,,902.14565,4583940.9,,
phosphorus,[P],30.973761,228.7,553.65,598571.1583427017,1448289.8495401335,994,8329000,,
"1-naphthalenecarboxaldehyde, decahydro-5-(5-hydroxy-3-methyl-3-penten-1-yl)-1,4a-dimethyl-6-methylene-, (1s,4ar,5s,8ar)-",C=C1CC[C@@H]2[C@](C)(CCC[C@]2(C)C=O)[C@H]1CCC(C)=CCO,304.46688,473.74,822.94,95517.77848546286,269168.4532614341,1031.7393,1584749.9,,
tristearin,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,891.4797000000001,328.15,1677.98,171591.11979779234,234489.5631853121,4487.5854,224977.5,,
methylhydrazine,CNN,46.071740000000005,220.75,356.15,226169.0138032555,786577.3193719226,567,8039997,296.15,-1.05
"2-propenoic acid, homopolymer, compd. with 2-amino-2-methyl-1-propanol",C=CC(=O)O.CC(C)(N)CO,161.19889999999998,441.25,664.83,131861.9419859565,493086.1292420323,868.74397,3547305.6,,
benzhydryl-diethyl-amine,CCN(CC)C(c1ccccc1)c1ccccc1,239.35534,331.65,653.92,114332.10556321828,,880.70569,2100344.4,,
chloral hydrate,OC(O)C(Cl)(Cl)Cl,165.40302,330.15,371.15,65089.50078420575,,728.89092,5827166.2,,0.99
n-(2-(5-methoxy-4-indolyl)ethyl)-acetamide,COc1ccc2[nH]ccc2c1CCN=C(C)O,232.27834,553.04,724.24,163863.7507052961,,947.61875,2778851.5,,
sodium metasilicate,O=[Si]([O-])[O-].[Na+].[Na+],122.06324,1362.15,,424370.1871259521,,,,,
methotrexate,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,454.43928000000005,468.15,1516.38,194809.30433654413,,1868.0031,2732562.2,,-1.85
benzophenone,O=C(c1ccccc1)c1ccccc1,182.2179,321.15,579.05,99825.53854478622,298035.2916436056,830,3350000,,3.18
41122-71-8,CCCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,277.40332,304.15,822.6,131094.32143782562,,1049.9532,1561046,,
2-(benzyloxy)benzoic acid,O=C(O)c1ccccc1OCc1ccccc1,228.24328,350.15,746.19,135995.2415685579,,989.89759,2944078.1,,
"1,3-dimethyl 1,3-naphthalenedicarboxylate",COC(=O)c1cc(C(=O)OC)c2ccccc2c1,244.24268,378.65,691.98,127070.3384027722,,918.41119,2485067.2,,
diphenylacetylene,C(#Cc1ccccc1)c1ccccc1,178.2292,333.15,573.15,130281.6822383762,276757.7170986757,832,2900000,,4.78
"methane, bromochlorodifluoro-",FC(F)(Cl)Br,165.36450639999998,113.65,269.25,39754.60117238315,133051.57883047988,426.9,4250000,,
2034-41-5,CC(N)CC(=O)c1ccccc1,163.21632,347.07,581.04,116226.12248579063,,810.07604,3384139.4,,
"2,4,6-trihydroxybenzoic acid",O=C(O)c1c(O)cc(O)cc1O,170.11954,433.65,773.81,208200.65702035167,,1031.2717,9555396.9,,
ammonium chloride,Cl.N,53.49146,611.15,793.15,198162.4730377521,2976376.192844774,882,1640000,,
bromofluoroform,FC(F)(F)Br,148.9099096,101.15,215.35,36646.31866783431,115394.8998829002,340.1,3960000,,1.86
"cis-1,4-dibenzyloxy-2-butene",C(=CCOCc1ccccc1)COCc1ccccc1,268.35020000000003,384.84,713.8,123107.78974638364,,938.36521,1947512.2,,
